Respuesta, Fecha, Tipo, resultado
b'Server Error',2023-02-26 01:13:57.834535,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:13:59.194312,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:00.584424,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:01.939715,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:03.285689,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:04.622453,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:14:05.981524,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:14:07.335399,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:08.673163,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:14:10.063410,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:14:11.418347,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:14:12.784021,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:14:14.148167,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:15.488535,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:16.844616,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:18.203008,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:19.717223,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:21.074317,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:22.449542,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:14:23.824367,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:14:25.167277,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:14:26.518299,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:14:27.871135,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:29.240662,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:14:30.584853,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:14:31.941956,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:33.293604,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:34.647089,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:36.003674,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:37.398151,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:38.751479,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:40.111534,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:41.452746,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:42.800265,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:44.233033,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:45.622953,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:46.961109,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:14:48.306163,CLIENTES,ERROR
b'Server Error',2023-02-26 01:14:49.679131,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:14:51.038464,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:52.400846,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:53.749476,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:14:55.099612,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:14:56.448676,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:57.814078,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:14:59.168247,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:00.605909,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:01.976310,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:03.325253,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:04.695178,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:06.045326,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:07.412212,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:08.754596,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:15:10.104774,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:15:11.477727,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:12.832692,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:15:14.182152,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:15:15.550385,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:16.899492,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:18.243103,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:15:19.592254,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:15:20.961643,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:22.323745,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:23.675233,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:25.030408,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:26.391840,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:27.731200,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:15:29.080021,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:15:30.439222,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:15:31.791853,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:15:33.162621,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:34.563596,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:35.913135,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:37.327803,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:38.665922,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:15:40.018354,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:15:41.370677,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:15:42.722213,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:15:44.072102,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:45.511084,CLIENTES,SUCCESS
